N,vector_dim,runs,secure_time_ns_avg,secure_time_ns_min,secure_time_ns_max,secure_time_ns_stddev,user_time_ns_avg,user_time_ns_min,user_time_ns_max,user_time_ns_stddev
100,8,50,43474.4,37967,270740,32476.8,17.46,16,24,1.60262
200,8,50,39243.4,37958,42358,1075.53,17.16,15,19,0.856971
300,8,50,38765.1,37957,43019,987.602,17.4,16,29,1.95959
400,8,50,38938.7,37941,44558,1123.79,17.48,15,29,2.24713
500,8,50,41728.1,38058,160424,16976.8,17.2,16,22,0.894427
600,8,50,39057.4,37935,53984,2237.07,16.96,14,19,0.93723
700,8,50,41436.3,37988,171197,18548.7,17.2,15,29,1.91833
800,8,50,39099.2,37985,42209,817.369,16.96,15,20,1.14822
900,8,50,42550.1,37939,214829,24623.5,17.04,14,21,1.05754
1000,8,50,38951.2,37952,41776,841.117,16.94,14,21,1.27138
